iter	Logloss
138	0.2385031396
139	0.2381274385
140	0.2377401654
141	0.2373890714
142	0.237100363
143	0.2367246618
144	0.2363615434
145	0.2359606768
146	0.2352735458
147	0.2349530487
148	0.2346065865
149	0.2342831322
150	0.233975082
151	0.2336361332
152	0.2332878907
153	0.2327453252
154	0.2324077343
155	0.23158159
156	0.2313134907
157	0.2307635626
158	0.2305208852
159	0.23027513
160	0.230024924
161	0.2297397913
162	0.2291800415
163	0.2286099268
164	0.2280900977
165	0.2278567139
166	0.2276187286
167	0.2274542481
168	0.2272185259
169	0.2270995483
170	0.2270069431
171	0.2267774368
172	0.2266016258
173	0.2262249741
174	0.2260201806
175	0.2259105571
176	0.2257560492
177	0.2255373906
178	0.2253212666
179	0.2247716705
180	0.2245906695
181	0.224377925
182	0.2242375387
183	0.2239255055
184	0.2235202636
185	0.2233807373
186	0.2231769094
187	0.2228145905
188	0.2226335593
189	0.2224693051
190	0.222070777
191	0.2218986624
192	0.2217250239
193	0.2213260432
194	0.2212077144
195	0.221098981
196	0.2209972632
197	0.2209088372
198	0.2207416862
199	0.2206519778
200	0.2202735609
201	0.2201291614
202	0.2199942065
203	0.2197036876
204	0.2195964177
205	0.2194454553
206	0.2193098516
207	0.2192202036
208	0.2191179879
209	0.2188167721
210	0.2186745301
211	0.2185385493
212	0.2184174444
213	0.2183013485
214	0.218222699
215	0.2180911387
216	0.2178155712
217	0.2176820194
218	0.2175601149
219	0.2174914833
220	0.2172598648
221	0.2172105146
222	0.217079075
223	0.2169625717
224	0.2168825643
225	0.2167983778
226	0.2167051993
227	0.2165226444
228	0.2164286361
229	0.216324625
230	0.2162108525
231	0.2161044878
232	0.2160224739
233	0.2159677074
234	0.2158737444
235	0.2158237153
236	0.2157761906
237	0.215704104
238	0.2155903466
239	0.2155422336
240	0.2154693775
241	0.2153801821
242	0.215336731
243	0.2152632865
244	0.2152302456
245	0.2151838676
246	0.2150827834
247	0.2150121754
248	0.2147387201
249	0.2146663619
250	0.2146088646
251	0.2145809081
252	0.2145068451
253	0.2144003597
254	0.2143183005
255	0.2142504986
256	0.2142052069
257	0.2141365904
258	0.2140678682
259	0.2139758364
260	0.2137801253
261	0.2137287987
262	0.2136801124
263	0.2136126123
264	0.2135557638
265	0.2134034133
266	0.2133314173
267	0.2132583802
268	0.2132105689
269	0.2131445624
270	0.2130598026
271	0.2130052473
272	0.2129343074
273	0.2127202503
274	0.2126204486
275	0.2125842242
276	0.2125413464
277	0.2124361284
278	0.2123993458
279	0.2123641625
280	0.2123036176
281	0.2122388785
282	0.2121782732
283	0.2121133682
284	0.2120663565
285	0.2119889441
286	0.2119416005
287	0.2117901553
288	0.2117258235
289	0.2116535257
290	0.211600615
291	0.2115361776
292	0.2114937524
293	0.211426886
294	0.2113497603
295	0.2113160253
296	0.2111872109
297	0.2111358843
298	0.2110835468
299	0.2110225946
300	0.2109785551
301	0.2108659745
302	0.2107429083
303	0.2107045415
304	0.2106345672
305	0.2105986898
306	0.2104575039
307	0.210416165
308	0.210361489
309	0.210278072
310	0.210241908
311	0.210184984
312	0.2101562731
313	0.2101171671
314	0.2100463629
315	0.2100056426
316	0.209914516
317	0.2098851714
318	0.2098360023
319	0.2097809944
320	0.2097528417
321	0.2097093755
322	0.2096174492
323	0.2095632108
324	0.2095126687
325	0.209482087
326	0.209446436
327	0.2092329221
328	0.2092013295
329	0.2091302085
330	0.2090894278
331	0.2090338768
332	0.2089913309
333	0.2089509123
334	0.2089251283
335	0.2088692605
336	0.2088332926
337	0.208798411
338	0.2087404913
339	0.2086880181
340	0.2086077844
341	0.2085583738
342	0.2085325295
343	0.2084917639
344	0.208456822
345	0.208414427
346	0.2083719565
347	0.2083223499
348	0.2082704047
349	0.208231359
350	0.2082031912
351	0.208136883
352	0.2081028011
353	0.208074407
354	0.2079491381
355	0.2079073164
356	0.2078674259
357	0.2078251516
358	0.2077808254
359	0.2077365445
360	0.2077030962
361	0.2076683051
362	0.2076375876
363	0.2075981044
364	0.2075785062
365	0.2075360207
366	0.2075144762
367	0.2074715682
368	0.2074468252
369	0.2074175862
370	0.2073601342
371	0.2072920608
372	0.2072471312
373	0.2072178017
374	0.2071844741
375	0.2070773098
376	0.2070241425
377	0.2069764368
378	0.2068959014
379	0.2068574894
380	0.206827134
381	0.2067907286
382	0.2067430682
383	0.2067130447
384	0.2066779519
385	0.2066388459
386	0.2065973109
387	0.2065822388
388	0.2065566509
389	0.2065026387
390	0.2064553253
391	0.2064002269
392	0.2062866807
393	0.2062486459
394	0.2061971232
395	0.2061574137
396	0.2061259116
397	0.2060845577
398	0.2060535837
399	0.2060284182
